"CELL"	"TREAT"	"TIME"	"CONTR"	"plateID"	"sample"	"RG.ratio"	"Filename"	"read"
"72"	"HeLa.tfLC3"	"DMSO"	"30"	"1"	"cc5-adcc"	"C12_S91"	0.880122558406741	"C12_S91_R2.fastq.gz"	"R2"
"73"	"HeLa.tfLC3"	"AZD8055"	"1"	"0"	"cbb-adca"	"D01_S4"	0.899610894941634	"D01_S4_R1.fastq.gz"	"R1"
"74"	"HeLa.tfLC3"	"AZD8055"	"1"	"0"	"cbb-adca"	"D01_S4"	0.899610894941634	"D01_S4_R2.fastq.gz"	"R2"
"75"	"HeLa.tfLC3"	"AZD8055"	"1"	"0"	"cbb-adcc"	"D02_S12"	0.873480243161094	"D02_S12_R1.fastq.gz"	"R1"
"76"	"HeLa.tfLC3"	"AZD8055"	"1"	"0"	"cbb-adcc"	"D02_S12"	0.873480243161094	"D02_S12_R2.fastq.gz"	"R2"
"77"	"HeLa.tfLC3"	"AZD8055"	"15"	"0"	"cbp-adcb"	"D03_S20"	1.17562557924004	"D03_S20_R1.fastq.gz"	"R1"
"78"	"HeLa.tfLC3"	"AZD8055"	"15"	"0"	"cbp-adcb"	"D03_S20"	1.17562557924004	"D03_S20_R2.fastq.gz"	"R2"
"79"	"HeLa.tfLC3"	"AZD8055"	"30"	"0"	"cb5-adca"	"D04_S28"	1.16988586479368	"D04_S28_R1.fastq.gz"	"R1"
"80"	"HeLa.tfLC3"	"AZD8055"	"30"	"0"	"cb5-adca"	"D04_S28"	1.16988586479368	"D04_S28_R2.fastq.gz"	"R2"
"81"	"HeLa.tfLC3"	"AZD8055"	"30"	"0"	"cb5-adcc"	"D05_S36"	1.22186346863469	"D05_S36_R1.fastq.gz"	"R1"
"82"	"HeLa.tfLC3"	"AZD8055"	"30"	"0"	"cb5-adcc"	"D05_S36"	1.22186346863469	"D05_S36_R2.fastq.gz"	"R2"
"83"	"HeLa.tfLC3"	"DMEM"	"0"	"1"	"cea-adfb"	"D06_S44"	0.979447200566974	"D06_S44_R1.fastq.gz"	"R1"
"84"	"HeLa.tfLC3"	"DMEM"	"0"	"1"	"cea-adfb"	"D06_S44"	0.979447200566974	"D06_S44_R2.fastq.gz"	"R2"
"85"	"HeLa.tfLC3"	"AZD8055"	"1"	"0"	"cbb-adcb"	"D07_S52"	0.933811802232855	"D07_S52_R1.fastq.gz"	"R1"
"86"	"HeLa.tfLC3"	"AZD8055"	"1"	"0"	"cbb-adcb"	"D07_S52"	0.933811802232855	"D07_S52_R2.fastq.gz"	"R2"
"87"	"HeLa.tfLC3"	"AZD8055"	"15"	"0"	"cbp-adca"	"D08_S60"	1.16596931659693	"D08_S60_R1.fastq.gz"	"R1"
"88"	"HeLa.tfLC3"	"AZD8055"	"15"	"0"	"cbp-adca"	"D08_S60"	1.16596931659693	"D08_S60_R2.fastq.gz"	"R2"
"89"	"HeLa.tfLC3"	"AZD8055"	"15"	"0"	"cbp-adcc"	"D09_S68"	1.17158931082982	"D09_S68_R1.fastq.gz"	"R1"
"90"	"HeLa.tfLC3"	"AZD8055"	"15"	"0"	"cbp-adcc"	"D09_S68"	1.17158931082982	"D09_S68_R2.fastq.gz"	"R2"
"91"	"HeLa.tfLC3"	"AZD8055"	"30"	"0"	"cb5-adcb"	"D10_S76"	1.16498464238701	"D10_S76_R1.fastq.gz"	"R1"
"92"	"HeLa.tfLC3"	"AZD8055"	"30"	"0"	"cb5-adcb"	"D10_S76"	1.16498464238701	"D10_S76_R2.fastq.gz"	"R2"
"93"	"HeLa.tfLC3"	"DMEM"	"0"	"1"	"cea-adfa"	"D11_S84"	0.997112955611692	"D11_S84_R1.fastq.gz"	"R1"
"94"	"HeLa.tfLC3"	"DMEM"	"0"	"1"	"cea-adfa"	"D11_S84"	0.997112955611692	"D11_S84_R2.fastq.gz"	"R2"
"95"	"HeLa.tfLC3"	"DMEM"	"0"	"1"	"cea-adfc"	"D12_S92"	1.01760821716801	"D12_S92_R1.fastq.gz"	"R1"
"96"	"HeLa.tfLC3"	"DMEM"	"0"	"1"	"cea-adfc"	"D12_S92"	1.01760821716801	"D12_S92_R2.fastq.gz"	"R2"
"97"	"HeLa.tfLC3"	"DMEM"	"30"	"1"	"ce5-adfa"	"E01_S5"	1.09513274336283	"E01_S5_R1.fastq.gz"	"R1"
"98"	"HeLa.tfLC3"	"DMEM"	"30"	"1"	"ce5-adfa"	"E01_S5"	1.09513274336283	"E01_S5_R2.fastq.gz"	"R2"
"99"	"HeLa.tfLC3"	"DMEM"	"30"	"1"	"ce5-adfc"	"E02_S13"	1.06585540443808	"E02_S13_R1.fastq.gz"	"R1"
"100"	"HeLa.tfLC3"	"DMEM"	"30"	"1"	"ce5-adfc"	"E02_S13"	1.06585540443808	"E02_S13_R2.fastq.gz"	"R2"
"101"	"HeLa.tfLC3"	"EBSS"	"1"	"0"	"cdb-adfb"	"E03_S21"	1.16397621070518	"E03_S21_R1.fastq.gz"	"R1"
"102"	"HeLa.tfLC3"	"EBSS"	"1"	"0"	"cdb-adfb"	"E03_S21"	1.16397621070518	"E03_S21_R2.fastq.gz"	"R2"
"103"	"HeLa.tfLC3"	"EBSS"	"15"	"0"	"cdp-adfa"	"E04_S29"	2.10297166551486	"E04_S29_R1.fastq.gz"	"R1"
"104"	"HeLa.tfLC3"	"EBSS"	"15"	"0"	"cdp-adfa"	"E04_S29"	2.10297166551486	"E04_S29_R2.fastq.gz"	"R2"
"105"	"HeLa.tfLC3"	"EBSS"	"15"	"0"	"cdp-adfc"	"E05_S37"	2.24017467248908	"E05_S37_R1.fastq.gz"	"R1"
"106"	"HeLa.tfLC3"	"EBSS"	"15"	"0"	"cdp-adfc"	"E05_S37"	2.24017467248908	"E05_S37_R2.fastq.gz"	"R2"
"107"	"HeLa.tfLC3"	"EBSS"	"30"	"0"	"cd5-adfb"	"E06_S45"	3.30578512396694	"E06_S45_R1.fastq.gz"	"R1"
"108"	"HeLa.tfLC3"	"EBSS"	"30"	"0"	"cd5-adfb"	"E06_S45"	3.30578512396694	"E06_S45_R2.fastq.gz"	"R2"
"109"	"HeLa.tfLC3"	"DMEM"	"30"	"1"	"ce5-adfb"	"E07_S53"	1.07988587731812	"E07_S53_R1.fastq.gz"	"R1"
"110"	"HeLa.tfLC3"	"DMEM"	"30"	"1"	"ce5-adfb"	"E07_S53"	1.07988587731812	"E07_S53_R2.fastq.gz"	"R2"
"111"	"HeLa.tfLC3"	"EBSS"	"1"	"0"	"cdb-adfa"	"E08_S61"	1.2145979020979	"E08_S61_R1.fastq.gz"	"R1"
"112"	"HeLa.tfLC3"	"EBSS"	"1"	"0"	"cdb-adfa"	"E08_S61"	1.2145979020979	"E08_S61_R2.fastq.gz"	"R2"
"113"	"HeLa.tfLC3"	"EBSS"	"1"	"0"	"cdb-adfc"	"E09_S69"	1.19115789473684	"E09_S69_R1.fastq.gz"	"R1"
"114"	"HeLa.tfLC3"	"EBSS"	"1"	"0"	"cdb-adfc"	"E09_S69"	1.19115789473684	"E09_S69_R2.fastq.gz"	"R2"
"115"	"HeLa.tfLC3"	"EBSS"	"15"	"0"	"cdp-adfb"	"E10_S77"	2.12657342657343	"E10_S77_R1.fastq.gz"	"R1"
"116"	"HeLa.tfLC3"	"EBSS"	"15"	"0"	"cdp-adfb"	"E10_S77"	2.12657342657343	"E10_S77_R2.fastq.gz"	"R2"
"117"	"HeLa.tfLC3"	"EBSS"	"30"	"0"	"cd5-adfa"	"E11_S85"	3.43770314192849	"E11_S85_R1.fastq.gz"	"R1"
"118"	"HeLa.tfLC3"	"EBSS"	"30"	"0"	"cd5-adfa"	"E11_S85"	3.43770314192849	"E11_S85_R2.fastq.gz"	"R2"
"119"	"HeLa.tfLC3"	"EBSS"	"30"	"0"	"cd5-adfc"	"E12_S93"	3.49038461538462	"E12_S93_R1.fastq.gz"	"R1"
"120"	"HeLa.tfLC3"	"EBSS"	"30"	"0"	"cd5-adfc"	"E12_S93"	3.49038461538462	"E12_S93_R2.fastq.gz"	"R2"
"121"	"SH-SY5Y.tfLC3"	"DMSO"	"0"	"1"	"eca-adga"	"F01_S6"	1.62890625	"F01_S6_R1.fastq.gz"	"R1"
"122"	"SH-SY5Y.tfLC3"	"DMSO"	"0"	"1"	"eca-adga"	"F01_S6"	1.62890625	"F01_S6_R2.fastq.gz"	"R2"
"123"	"SH-SY5Y.tfLC3"	"DMSO"	"0"	"1"	"eca-adgc"	"F02_S14"	1.59879518072289	"F02_S14_R1.fastq.gz"	"R1"
"124"	"SH-SY5Y.tfLC3"	"DMSO"	"0"	"1"	"eca-adgc"	"F02_S14"	1.59879518072289	"F02_S14_R2.fastq.gz"	"R2"
