##FastQC	0.11.7
>>Basic Statistics	pass
#Measure	Value
Filename	A10_S73_R2.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	118917010
Sequences flagged as poor quality	0
Sequence length	35-151
%GC	52
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.2016880932341	37.0	37.0	37.0	37.0	37.0
2	36.087500156621836	37.0	37.0	37.0	37.0	37.0
3	36.30933630100521	37.0	37.0	37.0	37.0	37.0
4	36.31816747662929	37.0	37.0	37.0	37.0	37.0
5	36.3841782853437	37.0	37.0	37.0	37.0	37.0
6	36.3341673407362	37.0	37.0	37.0	37.0	37.0
7	36.289948132735596	37.0	37.0	37.0	37.0	37.0
8	36.38644627879561	37.0	37.0	37.0	37.0	37.0
9	36.36225456728184	37.0	37.0	37.0	37.0	37.0
10-14	36.38247529432501	37.0	37.0	37.0	37.0	37.0
15-19	36.38235795535054	37.0	37.0	37.0	37.0	37.0
20-24	36.37239776378501	37.0	37.0	37.0	37.0	37.0
25-29	36.33834082777561	37.0	37.0	37.0	37.0	37.0
30-34	36.308604657987956	37.0	37.0	37.0	37.0	37.0
35-39	36.27615335733463	37.0	37.0	37.0	37.0	37.0
40-44	36.27416135367849	37.0	37.0	37.0	37.0	37.0
45-49	36.25400724192019	37.0	37.0	37.0	37.0	37.0
50-54	36.22008488554978	37.0	37.0	37.0	37.0	37.0
55-59	36.19121328957754	37.0	37.0	37.0	37.0	37.0
60-64	36.15249784798278	37.0	37.0	37.0	37.0	37.0
65-69	36.16522390405654	37.0	37.0	37.0	37.0	37.0
70-74	36.13625083321597	37.0	37.0	37.0	37.0	37.0
75-79	36.1292974009901	37.0	37.0	37.0	37.0	37.0
80-84	36.06315134369579	37.0	37.0	37.0	37.0	37.0
85-89	36.047572104724274	37.0	37.0	37.0	37.0	37.0
90-94	36.05666707285659	37.0	37.0	37.0	37.0	37.0
95-99	36.0147224697979	37.0	37.0	37.0	37.0	37.0
100-104	35.99139022050674	37.0	37.0	37.0	37.0	37.0
105-109	35.91174102297191	37.0	37.0	37.0	37.0	37.0
110-114	35.91040651504464	37.0	37.0	37.0	37.0	37.0
115-119	35.897367493479805	37.0	37.0	37.0	37.0	37.0
120-124	35.86240239916833	37.0	37.0	37.0	37.0	37.0
125-129	35.797392417304145	37.0	37.0	37.0	37.0	37.0
130-134	35.74016247184081	37.0	37.0	37.0	37.0	37.0
135-139	35.73638288491613	37.0	37.0	37.0	37.0	37.0
140-144	35.681128934129084	37.0	37.0	37.0	37.0	37.0
145-149	35.59408631532071	37.0	37.0	37.0	37.0	37.0
150-151	35.342401716405156	37.0	37.0	37.0	31.0	37.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1103	20-24	-0.07957138198585056
1103	25-29	-0.05117638300916383
1103	30-34	-0.0032991848604453367
1103	35-39	-0.10998925906770296
1103	40-44	-0.06993747829853447
1103	45-49	-0.10079325738379197
1103	50-54	-0.07817895070542846
1103	55-59	-0.014423635297426074
1103	60-64	-0.09329601271315369
1103	65-69	-0.09063340052904323
1103	70-74	-0.09301999377954218
1103	75-79	-0.04468571796894594
1103	80-84	-0.09088458472085392
1103	85-89	0.002822598624398154
1103	90-94	-0.05635139283411661
1103	95-99	0.012737197565094505
1103	100-104	0.042214048435987195
1103	105-109	-0.06393693358889863
1103	110-114	0.0228141155242767
1103	115-119	0.0021266125709971107
1103	120-124	0.0023535693107703537
1103	125-129	-0.045791176200445705
1103	130-134	8.101393800998835E-4
1103	135-139	-0.09324536100394454
1103	140-144	-0.039098723588793405
1103	145-149	0.06927723696455956
1103	150-151	-0.04425653465473545
1104	1	-0.058844914051903174
1104	2	0.08290783380908096
1104	3	0.04648615942885925
1104	4	-0.1268585318693738
1104	5	0.07967153228534585
1104	6	0.009887066910486908
1104	7	-0.005930344212579541
1104	8	0.05641076550188018
1104	9	0.06191079946228939
1104	10-14	-0.001638070319629037
1104	15-19	-0.005474858010977357
1104	20-24	-0.012343299087909543
1104	25-29	-0.05135939566349634
1104	30-34	-0.018683907340282246
1104	35-39	-0.018770635721182316
1104	40-44	-0.009878260877563605
1104	45-49	0.014079993164088478
1104	50-54	0.015800969701523115
1104	55-59	-0.051304719085514705
1104	60-64	-6.737733042854188E-4
1104	65-69	0.010012480702314974
1104	70-74	-0.060698935036022306
1104	75-79	-0.052186563191064295
1104	80-84	-0.0691955995986504
1104	85-89	-0.033606405840046705
1104	90-94	-0.009492768085507919
1104	95-99	-0.007332063809897704
1104	100-104	-0.06291879138456125
1104	105-109	-0.02288069275036264
1104	110-114	-0.0645460189325675
1104	115-119	-0.0202957744992176
1104	120-124	-0.0846926894264044
1104	125-129	-0.06741867703793503
1104	130-134	-0.02974660406976426
1104	135-139	0.06911566358044041
1104	140-144	-0.07301446954824797
1104	145-149	0.020478516968104543
1104	150-151	0.09192469578505325
1105	1	0.11220013862372724
1105	2	-0.3438278969767765
1105	3	-0.018506709774776198
1105	4	0.009760724060100756
1105	5	-6.0042691782769E-4
1105	6	-0.032370267308074574
1105	7	-0.176618217543961
1105	8	-0.022789649257255462
1105	9	0.04695880062580926
1105	10-14	-0.061726028722411286
1105	15-19	-0.0058890452583924
1105	20-24	0.020229710672346357
1105	25-29	-0.023528396098271287
1105	30-34	-0.04358478992799775
1105	35-39	-0.05499678557481502
1105	40-44	-0.013233841454507456
1105	45-49	-0.07054417597383633
1105	50-54	-0.027280819705012505
1105	55-59	-0.09262840428553432
1105	60-64	-0.07139968490314175
1105	65-69	-0.03598787931493774
1105	70-74	-0.047620288113115805
1105	75-79	-0.05072878453815832
1105	80-84	-0.10420012683128732
1105	85-89	-0.08950671175008296
1105	90-94	-0.06563288801541489
1105	95-99	-0.16342539418194235
1105	100-104	-0.11194412316652347
1105	105-109	-0.10809846848763982
1105	110-114	-0.020965012268696626
1105	115-119	-0.045968986155898506
1105	120-124	-0.01765392221452089
1105	125-129	-0.07674311123416544
1105	130-134	-0.07850666270235962
1105	135-139	-0.04137209642282613
1105	140-144	0.00403018921057452
1105	145-149	0.025921642011716983
1105	150-151	0.10949999949815492
1106	1	0.0457942632986601
1106	2	0.08488010318868788
1106	3	-0.028408619207219488
1106	4	0.05524922788912079
1106	5	-0.07375638734395551
1106	6	-0.01671265859469173
1106	7	-0.0379574598075294
1106	8	-0.019297504000739707
1106	9	-0.014433966061581316
1106	10-14	-0.014779325690824408
1106	15-19	-0.009756629431301178
1106	20-24	0.006116947420338192
1106	25-29	-0.009476530355946977
1106	30-34	-0.01335694689554856
1106	35-39	-0.006603119771789068
1106	40-44	-0.02335299734993157
1106	45-49	-0.02681176240062655
1106	50-54	-0.004136419400616376
1106	55-59	-0.005419576285476069
1106	60-64	-0.04892580228126775
1106	65-69	-0.05180645226295155
1106	70-74	0.031752275917710904
1106	75-79	0.016081722487555794
1106	80-84	-0.02630506464413429
1106	85-89	0.020171661789618156
1106	90-94	0.01704146764843273
1106	95-99	0.009805978887932554
1106	100-104	0.07035266604719226
1106	105-109	0.04870760661776785
1106	110-114	0.017197135818790343
1106	115-119	0.02262729257456897
1106	120-124	0.008884976351730245
1106	125-129	-0.05075136358094312
1106	130-134	-0.002792433455105936
1106	135-139	-0.008648706328081346
1106	140-144	0.0029659234219678865
1106	145-149	-0.0014736385777922578
1106	150-151	0.19140300697459622
1107	1	-0.09178696732263347
1107	2	-0.14112865003675523
1107	3	0.02027927523575812
1107	4	-0.06964434671510134
1107	5	0.011773569421670516
1107	6	-0.02225268223187271
1107	7	0.10850068209638408
1107	8	-0.010382621185058838
1107	9	-0.020264477685756788
1107	10-14	-0.026640999120090214
1107	15-19	0.007871326524401923
1107	20-24	-0.01360872649038214
1107	25-29	-0.01977436020987966
1107	30-34	-0.042687226380806464
1107	35-39	-0.030091905138533548
1107	40-44	-0.02292593571134205
1107	45-49	-0.0038478490121036657
1107	50-54	-0.016316078699382786
1107	55-59	-0.009999062085455535
1107	60-64	-0.007012651569759498
1107	65-69	-0.03784827545497649
1107	70-74	0.01199687191457599
1107	75-79	-0.033826229090919924
1107	80-84	-0.06916934065355917
1107	85-89	-0.046866426079255064
1107	90-94	-0.027807099633676557
1107	95-99	-0.0024875095709546713
1107	100-104	-0.017338490103426807
1107	105-109	-0.04769616126877452
1107	110-114	-0.018998019568392976
1107	115-119	-0.035583656590816304
1107	120-124	-0.04743655214035414
1107	125-129	-0.13151803441348875
1107	130-134	-0.023267300882835684
1107	135-139	0.0026559131045473805
1107	140-144	-0.039204238649368506
1107	145-149	-0.02138186852737789
1107	150-151	0.021287206351672694
1108	1	-0.07168353029877039
1108	2	-0.12860879629081268
1108	3	-0.01707252419785732
1108	4	0.021494207678685484
1108	5	0.04091897848178405
1108	6	-0.03657248139226965
1108	7	-0.009945721088364223
1108	8	-0.012553549322035451
1108	9	0.031584270419749316
1108	10-14	-0.007907014491095765
1108	15-19	-0.0016296538820981255
1108	20-24	0.003451638176642291
1108	25-29	0.005365277285079628
1108	30-34	-0.0012694142165017297
1108	35-39	0.01358055572443817
1108	40-44	0.01455360204273859
1108	45-49	-0.025702942746235635
1108	50-54	-0.022544019398502257
1108	55-59	-0.07353468132006213
1108	60-64	-0.05661054927080755
1108	65-69	-0.0556295036726695
1108	70-74	-0.059952623000079086
1108	75-79	-0.07064916958654521
1108	80-84	-0.073768371690079
1108	85-89	-0.10332286038762106
1108	90-94	-0.10527670916805931
1108	95-99	-0.042374162708846086
1108	100-104	-0.08737750637050823
1108	105-109	-0.14791723952462377
1108	110-114	-0.008707159860200875
1108	115-119	-0.03619758473152501
1108	120-124	-0.0437875426150498
1108	125-129	0.0020354253540659784
1108	130-134	0.009106018723699094
1108	135-139	-0.04823954256496421
1108	140-144	0.042188995592709944
1108	145-149	0.12337968813680078
1108	150-151	0.16748148554356135
1109	1	0.07017093059062773
1109	2	-0.22598390361359577
1109	3	0.0063563290080850265
1109	4	0.012689570458320532
